Magnitude,Longitude,Latitude,
5.5,-18.666,66.309, 10]
4.1,-18.68,66.013, 10]
5.3,-18.569,66.37, 10]
4.1,-18.678,66.165, 10]
4.8,-19.044,66.193, 10]
4.3,-18.721,66.301, 10]
4.4,-18.58,66.498, 10]
4.5,-16.423,68.831, 10]
4.2,-21.645,63.935, 10]
4.3,-19.028,63.568, 10]
4.4,-17.282,64.302, 10]
4.5,-17.57,64.355, 10]
4.2,-17.441,64.344, 10]
4.2,-17.392,64.367, 10]
5.2,-23.978,63.362, 10]
5.1,-23.799,63.486, 10]
4.9,-24.043,63.348, 10]
4.5,-23.967,63.491, 10]
4.6,-17.299,68.889, 10]
4.7,-17.25,68.867, 10]
4.6,-22.967,63.599, 10]
4.5,-23.434,63.556, 10]
4.5,-23.626,63.877, 10]
4.9,-16.666,68.856, 10]
4.4,-21.99,63.961, 1.3]
4.5,-22.086,63.916, 5]
4.5,-22.265,63.936, 3.5]
4.8,-22.24,63.924, 5]
4.7,-17.717,64.331, 5]
4.1,-17.563,68.667, 10]
4.3,-17.606,68.617, 10]
4.2,-17.689,66.467, 10]
4.3,-17.624,66.438, 10]
4.2,-26.354,62.343, 10]
3.7,-21.146,63.971, 10]
4,-21.199,64.031, 10]
6.3,-21.013,64.005, 9]
4.2,-20.066,64.969, 10.4]
4.8,-18.021,68.195, 10]
4.2,-19.022,66.956, 10]
4.1,-23.066,63.76, 10]
3.9,-23.29,63.939, 10]
4.4,-18.761,67.747, 10]
4.6,-24.054,63.3, 10]
4.4,-24.038,63.484, 10]
5,-23.926,63.295, 10]
4.9,-24.045,63.297, 10]
4.1,-23.946,63.619, 10]
4.2,-17.784,66.084, 10]
4.1,-21.597,68.235, 10]
3.5,-17.383,68.85, 10]
4.2,-26.397,62.309, 10]
4.5,-22.104,63.871, 10]
4.2,-18.327,66.914, 10]
4.6,-23.91,63.645, 10]
5.1,-17.176,68.886, 10]
4.5,-26.071,62.291, 10]
4.6,-16.934,68.797, 10]
5.6,-16.637,69.004, 10]
3.7,-17.321,68.798, 10]
4.3,-17.495,68.832, 10]
4.8,-26.541,62.006, 10]
4.3,-26.235,62.48, 10]
4.4,-26.509,61.969, 10]
4.8,-26.58,61.988, 10]
4.6,-26.58,61.957, 10]
4.6,-26.517,62.069, 10]
4.5,-26.539,61.954, 10]
4.5,-26.414,61.999, 10]
4,-26.506,61.945, 10]
3.4,-26.654,62.089, 10]
4.5,-26.683,62.098, 10]
4.1,-26.561,62.248, 10]
4.1,-25.28,62.642, 10]
4.3,-24.903,62.995, 10]
4.3,-26.912,62.237, 10]
4.2,-26.453,62.14, 10]
4.3,-26.522,62.117, 10]
3.8,-26.447,62.303, 10]
4.5,-26.45,62.074, 10]
4.2,-26.531,62.123, 10]
4.5,-26.591,62.242, 10]
4.5,-26.564,62.118, 10]
4.2,-26.469,62.245, 10]
4.2,-26.595,62.275, 10]
4.4,-26.43,62.259, 10]
4.4,-26.587,62.399, 10]
4.4,-26.317,62.3, 10]
4.6,-26.449,62.248, 10]
4.4,-26.347,62.174, 10]
4.3,-26.194,62.22, 10]
4.1,-26.411,62.277, 10]
3.9,-26.409,62.263, 10]
4.4,-26.369,62.158, 10]
4.3,-26.182,62.212, 10]
4.2,-26.513,62.213, 10]
4.2,-26.401,62.252, 10]
4.3,-26.431,62.211, 10]
4.3,-26.127,62.194, 10]
4.6,-26.303,62.224, 10]
4.1,-26.411,62.376, 10]
4.3,-26.489,62.099, 10]
4.4,-26.145,62.217, 10]
4.3,-26.354,62.153, 10]
4.5,-26.525,62.25, 10]
4.3,-26.221,62.154, 10]
4.3,-26.477,62.159, 10]
4.1,-26.415,62.278, 10]
4.2,-25.867,61.943, 10]
4.3,-26.419,62.11, 10]
4.3,-26.34,62.162, 10]
3.9,-26.702,62.517, 10]
4.1,-26.497,62.123, 10]
4.3,-26.422,62.106, 10]
4.4,-26.57,61.98, 10]
4.4,-26.622,62.057, 10]
4.4,-26.524,62.871, 10]
4.1,-26.548,62.281, 10]
4.3,-26.407,62.189, 10]
4.4,-26.628,62.209, 10]
4.4,-26.708,62.048, 10]
3.7,-26.866,62.706, 10]
4.3,-26.596,61.97, 10]
4.3,-26.615,62.106, 10]
4.2,-26.621,62.04, 10]
4.2,-26.531,62.209, 10]
4.3,-26.711,62.211, 10]
4.3,-26.473,62.043, 10]
4.3,-26.551,62.053, 10]
4.4,-26.476,62.065, 10]
4.6,-26.464,62.03, 10]
4.6,-26.3,62.294, 10]
4.5,-26.538,62.096, 10]
4.4,-26.472,62.194, 10]
4.4,-26.44,62.056, 10]
4.5,-26.393,61.88, 10]
4.3,-26.507,62.065, 10]
4.1,-26.407,62.304, 10]
4.3,-26.528,62.182, 10]
4.7,-26.354,62.105, 10]
4.2,-26.387,62.109, 10]
4.3,-26.32,62.194, 10]
4.3,-26.249,62.162, 10]
4.5,-26.491,62.096, 10]
4.2,-26.475,62.011, 10]
4.5,-26.291,62.039, 10]
4.5,-26.531,62.059, 10]
4.6,-26.383,62.179, 10]
4.6,-26.443,62.079, 10]
4.5,-26.359,61.995, 10]
4.5,-26.445,62.11, 10]
4.6,-26.325,62.134, 10]
4.5,-26.471,62.121, 10]
4.1,-26.25,62.126, 10]
4.8,-26.575,62.046, 10]
4.4,-26.103,62.154, 10]
4.4,-26.383,62.142, 10]
4.5,-26.314,62.187, 10]
4.5,-26.255,62.201, 10]
4.5,-26.183,62.162, 10]
4.4,-26.605,62.231, 10]
4.4,-26.42,62.045, 10]
4.5,-26.363,62.132, 10]
4.4,-26.504,62.102, 10]
4.4,-26.242,62.145, 10]
4.3,-26.619,62.139, 10]
4.4,-26.479,62.088, 10]
4.2,-26.342,62.031, 10]
4.4,-26.378,62.128, 10]
4.4,-26.365,62.033, 10]
4.2,-26.396,62.16, 10]
4.3,-26.4,62.127, 10]
4.5,-26.322,61.975, 10]
4.6,-26.369,62.178, 10]
4.4,-26.507,62.026, 10]
3.4,-26.358,62.107, 10]
4.4,-26.416,62.197, 10]
4.7,-26.474,62.15, 10]
4.5,-26.344,62.121, 10]
4.4,-26.395,62.129, 10]
4.6,-26.282,62.28, 10]
4.4,-26.278,62.197, 10]
4.3,-26.355,62.111, 10]
4.2,-24.704,62.189, 10]
5.2,-26.402,62.246, 10]
3.8,-26.531,62.176, 10]
4.3,-26.687,62.185, 10]
4.4,-26.437,62.056, 10]
4.7,-26.387,62.169, 10]
4.2,-26.545,62.071, 10]
4.5,-26.49,62.112, 10]
4.4,-26.173,62.327, 10]
3.8,-26.284,62.4, 10]
4.2,-18.634,67.973, 10]
5.2,-9.776,65.895, 17.7]
4.3,-17.569,66.33, 10]
4,-17.636,64.383, 10]
4.5,-23.916,63.501, 10]
4.4,-16.54,68.967, 10]
4.3,-25.537,62.07, 10]
4.5,-25.984,62.538, 10]
4.6,-25.646,62.226, 10]
3.9,-25.814,62.458, 10]
4.4,-25.782,62.337, 10]
4.5,-25.755,62.489, 10]
4.7,-25.752,62.459, 10]
4.1,-19.096,63.844, 10]
4.6,-23.86,63.329, 10]
5.2,-22.26,63.916, 10]
4.6,-26.68,62.007, 10]
4.6,-26.732,62.038, 10]
4.3,-23.607,63.545, 10]
4.4,-16.82,68.844, 10]
4.3,-17.193,64.621, 10]
4.3,-18.539,66.811, 10]
5.8,-18.456,66.938, 10]
,-26.751,62.135, 10]
,-16.542,68.596, 10]
4.3,-19.283,63.397, 10]
4.3,-18.714,67.639, 10]
4.2,-18.599,67.652, 10]
4.7,-18.107,67.858, 10]
4.3,-18.509,67.764, 10]
4.3,-16.282,68.946, 10]
,-18.886,67.697, 10]
4.3,-16.858,66.452, 10]
4.6,-18.698,67.663, 10]
3.7,-18.243,67.723, 10]
3.8,-18.547,67.654, 10]
3.5,-23.095,63.85, 10]
4.4,-16.523,68.978, 10]
4.8,-16.497,68.905, 10]
4,-25.703,62.444, 10]
3.9,-25.424,62.518, 10]
5.4,-25.873,62.43, 10]
6.5,-20.758,63.98, 10]
4.5,-20.717,64.023, 10]
,-21.759,63.891, 10]
4.9,-22.197,64, 10]
5.7,-20.633,63.965, 10]
6.5,-20.487,63.966, 10]
4.3,-21.072,63.858, 10]
3.8,-18.249,68.213, 10]
4.3,-17.484,68.908, 10]
4.4,-18.203,68.291, 10]
4.5,-18.112,68.403, 10]
,-18.118,68.643, 10]
4.7,-18.417,68.273, 10]
4.2,-18.055,68.313, 10]
4.3,-18.185,68.333, 10]
4.6,-17.93,68.302, 10]
4.3,-17.928,68.669, 10]
4.3,-18.247,68.153, 10]
4.2,-18.05,68.574, 10]
4.3,-18.222,68.328, 10]
4.2,-20.981,64.426, 10]
4.2,-26.247,62.109, 10]
4.2,-21.31,64.115, 10]
4.5,-25.638,62.374, 10]
4.4,-25.712,62.406, 10]
,-25.935,62.475, 10]
4.4,-17.474,64.317, 10]
4.3,-16.661,68.908, 10]
4.6,-16.896,68.794, 10]
4.7,-21.413,64.003, 10]
5.1,-21.595,63.882, 10]
3.7,-18.911,63.703, 10]
3.7,-19.091,63.949, 10]
4.4,-21.418,63.958, 10]
5.4,-21.29,63.993, 10]
4.4,-21.338,64.074, 10]
4.2,-21.157,64.117, 10]
3.8,-16.452,64.925, 10]
,-26.111,62.369, 10]
4.5,-26.264,62.091, 10]
4.4,-26.493,62.11, 10]
4.6,-18.367,66.238, 10]
4.5,-18.51,66.222, 10]
4.8,-21.269,64.002, 10]
4.1,-18.603,66.273, 10]
4.7,-18.404,66.291, 10]
,-19.343,66.262, 10]
4.5,-18.948,68.299, 10]
,-18.344,68.307, 10]
,-18.744,68.237, 10]
4.3,-17.751,64.342, 10]
4.1,-21.358,64.032, 10]
3,-17.996,65.686, 10]
4.2,-26.016,62.476, 10]
4.4,-24.648,63.162, 10]
4,-21.93,63.986, 10]
3.9,-21.972,63.908, 10]
,-17.811,64.338, 10]
4.3,-17.039,68.827, 10]
4.1,-26.262,62.201, 10]
4.3,-26.53,62.178, 10]
4.4,-26.408,62.189, 10]
4.3,-26.364,62.404, 10]
4.2,-26.311,62.181, 10]
4.2,-18.109,64.089, 10]
4.3,-21.175,64.047, 10]
4.5,-17.716,64.532, 10]
4.5,-17.757,64.546, 10]
4.3,-17.503,64.591, 10]
3.4,-18.764,63.827, 10]
4,-18.558,63.781, 10]
4,-17.985,64.142, 10]
3.3,-17.975,64.459, 10]
4.2,-17.864,64.35, 10]
4.2,-18.395,63.83, 10]
4.4,-17.761,64.437, 10]
4.2,-17.905,64.391, 10]
4.1,-17.866,64.463, 10]
4,-18.087,64.45, 10]
4.1,-17.929,64.426, 10]
4.3,-17.849,64.589, 10]
5.6,-17.566,64.782, 10]
3.7,-17.993,64.263, 10]
3.6,-17.446,64.958, 10]
3.9,-16.414,69.169, 10]
3.7,-17.85,68.984, 10]
3.2,-18.502,68.048, 10]
4,-16.649,68.938, 10]
3.9,-18.068,64.346, 10]
3.2,-17.771,64.468, 10]
4.9,-17.792,64.55, 10]
4.3,-17.419,64.647, 10]
4.3,-17.952,64.5, 10]
4,-18.474,68.08, 10]
4.3,-18.34,68.141, 10]
4.6,-25.581,62.415, 10]
4.3,-17.751,68.554, 10]
4.2,-19.163,64.447, 10]
4.3,-22.948,64.088, 10]
4.2,-20.529,64.667, 10]
4.2,-20.854,68.034, 10]
5.4,-17.482,64.578, 8.6]
5.5,-19.22,66.512, 10]
4.2,-18.216,65.915, 10]
5.3,-17.543,64.624, 5]
3.8,-18.676,68.075, 10]
4.3,-21.411,63.997, 10]
5.6,-17.594,64.78, 10]
4.8,-17.366,64.659, 10]
4.3,-17.306,68.769, 10]
4.4,-18.975,68.57, 10]
4.5,-19.06,68.026, 10]
4.4,-18.648,68.008, 10]
5.2,-20.807,64.394, 10]
4.6,-26.658,62.183, 10]
4.5,-26.781,62.139, 10]
4.9,-26.553,62.269, 10]
4.9,-18.314,68.279, 10]
4.5,-18.279,68.425, 10]
4.3,-24.208,63.064, 10]
4.4,-24.355,63.641, 10]
4.7,-24.499,63.61, 5]
4.7,-24.341,63.26, 5]
4.8,-24.192,63.198, 5]
4.7,-24.548,63.239, 5]
5,-24.634,62.891, 5]
4.8,-24.638,63.294, 5]
4.7,-24.153,63.303, 5]
5,-24.352,63.221, 5]
4.6,-24.378,63.197, 5]
4.7,-24.405,63.224, 5]
4.8,-24.308,63.234, 5]
4.7,-24.148,63.303, 5]
4.9,-24.302,63.116, 5]
4.9,-24.509,63.252, 5]
5.1,-24.466,63.347, 5]
4.7,-24.588,63.045, 5]
4.7,-24.671,63.102, 5]
4.8,-24.514,63.013, 5]
5.6,-17.617,64.655, 10]
4.4,-22.494,63.813, 10]
4.2,-25.495,62.796, 10]
4.6,-24.734,63.057, 10]
4.8,-22.074,63.883, 10]
3.9,-19.332,63.565, 10]
4.4,-26.478,62.016, 10]
4.4,-11.267,65.7, 10]
4.2,-17.322,64.719, 10]
5.1,-17.381,64.583, 10]
4.1,-17.514,64.647, 10]
4.4,-16.987,65.206, 10]
4.2,-18.152,66.292, 10]
4.8,-18.003,66.566, 10]
4.4,-18.383,66.406, 23.4]
4.2,-18.129,66.45, 10]
4.4,-17.602,64.713, 5]
6,-19.728,63.85, 7.6]
4.5,-17.803,68.337, 10]
4.1,-22.677,63.808, 10]
5.2,-17.318,64.658, 10]
4.2,-17.447,66.205, 10]
4.6,-23.965,63.407, 10]
4.7,-25.733,62.587, 10]
4.2,-25.132,62.756, 10]
4.4,-25.485,62.517, 10]
5.3,-25.337,62.63, 10]
4.9,-25.514,62.591, 10]
5.3,-25.328,62.681, 10]
4.7,-25.427,62.663, 10]
4.4,-25.144,62.672, 10]
5.3,-25.212,62.796, 10]
4.7,-25.463,62.63, 10]
4.6,-25.443,62.58, 10]
4.6,-16.856,68.829, 10]
4.5,-22.203,67.953, 10]
4.6,-18.637,67.708, 10]
4.6,-16.909,69.072, 10]
5.1,-18.541,67.7, 10]
4.5,-18.979,67.638, 10]
4.3,-18.721,67.957, 10]
4,-19.582,64.887, 10]
4.3,-21.038,64.863, 10]
4.3,-20.726,64.475, 10]
4.3,-20.305,64.758, 10]
4.5,-20.642,64.616, 10]
,-20.8,64.51, 10]
4.6,-26.275,62.471, 10]
4.5,-25.514,62.531, 10]
4.4,-24.215,63.329, 10]
5.3,-17.503,64.527, 10]
4.8,-24.98,62.978, 10]
4.5,-20.72,64.399, 10]
4.3,-18.912,68.004, 10]
4.7,-18.268,68.319, 10]
5.1,-26.416,61.954, 10]
4.4,-26.473,62.191, 10]
4.5,-17.721,64.503, 10]
4.6,-23.901,63.432, 10]
4.3,-23.694,63.568, 10]
4.5,-23.927,63.457, 10]
4.2,-23.267,63.519, 10]
4.2,-17.542,64.758, 10]
4.8,-23.334,63.557, 10]
4.6,-23.483,63.636, 10]
4.8,-25.909,62.452, 10]
4.3,-25.126,61.846, 10]
4.8,-17.389,68.816, 10]
4,-17.732,66.595, 10]
4.7,-25.737,63.222, 10]
4.7,-24.264,63.207, 10]
4.1,-19.54,63.625, 10]
4.2,-25.204,62.874, 10]
4.3,-20.942,64.575, 10]
5.2,-17.328,66.663, 10]
4.8,-17.698,66.437, 10]
4.5,-18.075,66.387, 10]
4.6,-17.999,66.443, 10]
4.6,-17.504,66.511, 10]
4.7,-17.858,66.537, 10]
4.6,-17.308,66.635, 10]
4.7,-17.747,66.584, 10]
5.1,-17.732,66.434, 10]
4.3,-17.126,68.725, 10]
4.4,-26.026,62.452, 10]
,-24.652,62.734, 10]
4.6,-25.051,62.96, 10]
4.8,-25.361,62.714, 10]
5.3,-17.249,64.724, 10]
4.5,-24.391,63.19, 10]
4.4,-24.426,63.286, 10]
4,-17.523,64.399, 10]
4.3,-17.01,68.941, 10]
3.8,-18.295,68.77, 10]
5.4,-17.454,64.535, 10]
4,-26.65,62.136, 10]
4.3,-17.772,66.519, 10]
4.2,-17.542,66.674, 10]
4.1,-17.357,64.628, 5]
4.2,-16.842,68.983, 10]
4.1,-18.02,64.541, 10]
4.3,-20.054,68.146, 10]
4,-16.063,66.043, 10]
4.1,-17.415,64.753, 10]
4.2,-25.755,62.499, 10]
3.9,-17.577,64.711, 10]
4.7,-26.099,62.455, 10]
4.3,-16.885,66.026, 10]
4.2,-17.088,66.014, 10]
4.7,-16.941,66.032, 10]
4.9,-16.85,66.029, 10]
4.6,-16.986,65.988, 10]
4.8,-16.799,66.006, 10]
4.8,-16.856,65.941, 10]
4.4,-16.864,66.046, 10]
4.8,-16.865,66.028, 10]
4.5,-16.443,66.081, 10]
4.3,-16.934,66.02, 10]
4.1,-17.123,66.134, 10]
4.4,-16.945,65.984, 10]
4.3,-16.972,66.045, 10]
4.7,-16.983,65.984, 10]
4.4,-16.842,66.027, 10]
4.3,-16.843,65.986, 10]
5.2,-17.291,64.598, 10]
4.7,-17.492,64.469, 33]
3.9,-17.181,64.748, 10]
4.6,-17.846,64.6, 6]
5,-19.026,63.674, 10]
4.1,-22.879,63.93, 10]
4.8,-22.432,63.856, 10]
4.6,-19.168,63.572, 10]
4.3,-16.819,65.739, 10]
5.2,-17.226,64.61, 33]
4.3,-17.801,68.868, 33]
4.6,-17.667,68.445, 33]
4.7,-17.905,66.495, 5]
4.5,-17.142,65.96, 5]
4.8,-16.773,66.122, 5]
4.9,-16.835,65.64, 8]
4.3,-17.019,65.742, 10]
4.3,-17.273,65.666, 10]
4.4,-17.012,66.295, 10]
4.2,-17.124,66.268, 10]
4.5,-16.069,65.967, 33]
4.5,-16.748,65.837, 33]
4.6,-16.736,65.712, 33]
4.9,-16.584,65.769, 33]
5,-16.998,65.667, 10]
4.6,-16.826,65.718, 33]
4.4,-16.652,65.813, 33]
4.6,-16.542,65.743, 33]
4.5,-16.714,66.178, 10]
4.4,-17.118,65.682, 10]
4.3,-17.591,66.164, 10]
4.5,-16.97,65.953, 10]
4.5,-16.748,65.78, 10]
4.5,-16.77,66.296, 10]
4.5,-16.559,66.11, 33]
6.4,-16.582,66.157, 33]
5,-16.659,66.125, 33]
4.7,-16.629,65.954, 33]
4.3,-16.576,66.157, 10]
4.8,-16.62,66.079, 33]
4.1,-17.151,66.193, 10]
4.6,-16.739,66.071, 33]
4.3,-16.75,66.351, 33]
5,-16.854,65.69, 10]
4.6,-16.759,65.651, 6]
5.2,-16.688,66.047, 33]
4.4,-16.77,66.024, 33]
4.5,-16.72,65.666, 10]
4.9,-16.346,66.314, 33]
4.3,-16.631,66.174, 33]
4.5,-16.5,66.231, 10]
4.7,-16.877,66.015, 14]
4.3,-16.583,66.229, 10]
4.4,-17.112,66.174, 33]
4.6,-16.856,66.115, 10]
4.6,-16.434,66.136, 33]
4.9,-16.806,66.063, 33]
5.1,-16.446,66.136, 10]
4.6,-16.903,66.099, 10]
4.7,-16.724,66.046, 10]
4.8,-16.701,66.106, 33]
4.3,-21.323,65.035, 33]
4.3,-21.641,64.323, 33]
4.6,-22.219,63.881, 33]
4.5,-15.979,66.294, 33]
4.2,-16.513,66.244, 33]
4.5,-17.809,66.271, 20]
4.5,-17.982,66.506, 10]
4.5,-19.466,68.279, 33]
4.4,-18.286,68.487, 33]
5.4,-17.285,64.439, 33]
4.4,-26.561,62.22, 33]
4.4,-25.483,62.934, 33]
4.4,-17.59,66.147, 33]
4.3,-26.522,62.086, 33]
4.5,-18.56,66.05, 33]
5.2,-17.625,64.507, 33]
4.3,-22.512,64.097, 33]
4.3,-22.522,63.788, 11]
4.3,-22.058,63.93, 34]
4.1,-22.752,64.009, 15]
4.4,-22.78,64, 33]
4.6,-22.572,63.746, 28]
4.3,-22.821,63.994, 33]
5.6,-26.17,62.087, 33]
5.4,-26.375,62.12, 33]
4.5,-26.019,62.338, 33]
5.4,-20.103,67.65, 33]
5.2,-17.651,64.601, 33]
5.5,-21.045,64.771, 13]
4.8,-20.818,64.882, 16]
4.4,-20.868,65.149, 37]
5,-21.227,64.667, 33]
4.6,-20.931,64.949, 16]
4.3,-23.634,63.375, 33]
4.4,-23.366,63.776, 33]
4.6,-23.095,63.878, 33]
4.7,-17.113,64.757, 33]
4.3,-19.582,66.495, 33]
4.3,-19.293,66.497, 33]
4.5,-19.47,66.911, 33]
4.4,-18.991,67.301, 33]
4.7,-19.332,66.837, 33]
5,-19.217,66.949, 33]
4.4,-19.537,66.816, 33]
4.7,-19.326,66.987, 33]
4.3,-19.677,66.826, 33]
4.3,-19.337,66.743, 33]
4.4,-19.657,66.747, 33]
4.5,-19.878,66.603, 33]
4.1,-22.223,63.993, 33]
4.7,-22.353,63.867, 5]
5.2,-22.233,63.935, 2]
4.9,-22.142,63.873, 33]
5.4,-22.197,63.904, 1]
4.5,-17.548,64.629, 5]
4.5,-18.556,67.759, 33]
4.3,-18.904,68.166, 33]
6,-21.954,63.929, 10]
5.8,-18.526,67.303, 15]
6.9,-19.824,66.218, 10]
